date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2018-01-02	364.39	374.39	363.99	374.19	240805	10011334656.0													
2018-01-03	380.39	383.19	375.39	378.59	227802	9638247424.0						100.0							
2018-01-04	383.39	388.79	380.59	388.19	279045	11967516672.0						100.0							
2018-01-05	392.79	392.79	384.59	389.59	199584	8614181888.0						100.0							
2018-01-08	392.59	395.59	390.19	394.99	179948	7856873984.0	385.11					100.0							
2018-01-09	397.39	402.79	395.39	400.19	244765	10848564224.0	390.31					100.0							
2018-01-10	402.19	402.59	396.39	396.79	180074	7968681984.0	393.95000000000005					94.65989488430178							
2018-01-11	392.39	394.39	385.79	385.79	276358	11945764864.0	393.47					79.81051347686625							
2018-01-12	388.19	398.59	387.19	398.59	191989	8381049856.0	395.27000000000004					83.12737261395851							
2018-01-15	401.79	405.19	389.59	389.59	233946	10320308224.0	394.19000000000005	389.65000000000003				73.93045386332066							
2018-01-16	392.39	401.19	391.39	400.59	205922	9098470400.0	394.27000000000004	392.28999999999996				77.24424015157676							
2018-01-17	399.39	405.39	395.59	405.39	248796	11066596352.0	395.99	394.97		391.8733333333334		78.52692092585116							
2018-01-18	408.99	410.39	401.19	404.19	217960	9800451072.0	399.67	396.56999999999994		393.7682051282052		77.35302595262249							
2018-01-19	408.59	409.39	404.39	408.79	147492	6648683008.0	401.71000000000004	398.49		396.0792504930967		78.66938773331748							9.500000000000004
2018-01-22	411.39	416.39	406.79	416.39	193649	8841470976.0	407.07000000000005	400.63000000000005		399.2039811864664		80.66864140829679							9.507142857142858
2018-01-23	422.59	430.99	419.99	430.99	238720	11195016192.0	413.15	403.71000000000004		404.09413792701		83.80829123098879							9.870918367346942
2018-01-24	430.39	430.79	423.19	425.39	249290	11729419264.0	417.15	406.57		407.3704243997777		78.53932000722891							9.722995626822161
2018-01-25	422.59	424.59	414.39	414.39	277324	12821918720.0	419.19	409.43		408.4503591075042		69.32022770953574							9.814210224906294
2018-01-26	420.59	427.59	420.39	427.59	220125	10310863872.0	422.95000000000005	412.33000000000004		411.39491924481126		73.36116558605626							10.0560523516987
2018-01-29	430.19	432.99	422.79	427.99	225046	10608507904.0	425.27000000000004	416.1700000000001	402.91	413.94800859176337		73.47517829347065				402.91	436.31454428588074	369.5054557141193	10.066334326577364
2018-01-30	419.59	425.99	417.59	418.19	222557	10333929472.0	422.71000000000004	417.93	405.10999999999996	414.600622654569		66.01990291797792				405.10999999999996	436.2706769739311	373.94932302606884	10.090167588964698
2018-01-31	411.99	424.79	411.59	419.99	276092	12754797568.0	421.63000000000005	419.39000000000004	407.18	415.4297576307892		66.68847565104979				407.18	436.36037552516194	377.9996244748381	10.312298475467225
2018-02-01	422.39	423.19	416.39	416.39	171194	7917368832.0	422.03000000000003	420.61000000000007	408.59	415.57748722605237		63.97725821786197				408.59	436.60894096199166	380.5710590380083	10.061420012933851
2018-02-02	415.39	416.39	407.39	408.79	243288	11080881152.0	418.2700000000001	420.61000000000007	409.55	414.53325842204436		58.564213122824896				409.55	436.1053959230808	382.99460407691925	9.98560429772429
2018-02-05	390.19	402.19	389.19	397.39	403920	17778460672.0	412.15000000000003	418.71000000000004	409.67	411.89583404942215		51.52234931928998				409.67	435.9688172637798	383.37118273622025	10.672346847886843
2018-02-06	379.39	381.79	363.59	366.39	868497	36273332224.0	401.7900000000001	412.25	407.98	404.8949365033572	403.2823076923077	38.104724122493955	1.6126288110494897			407.98	440.4612431704012	375.49875682959885	12.324322073037782
2018-02-07	386.39	389.19	369.59	371.19	610517	25868890112.0	392.03000000000003	406.83000000000004	406.70000000000005	399.70956165668684	400.9050997150997	40.68069119512289	-1.1955380584128648			406.70000000000005	442.8485764442719	370.5514235557282	13.072584782106514
2018-02-08	375.19	380.39	370.39	376.59	354379	14875059200.0	384.07	403.05000000000007	406.24000000000007	396.1527060171966	399.1039812176849	43.52811614326215	-2.9512752004883396			406.24000000000007	443.71861144425543	368.7613885557447	12.853114440527477
2018-02-09	359.39	367.39	354.39	363.79	691568	27953815552.0	375.07000000000005	396.6700000000001	404.50000000000006	391.1738281683971	396.4881307571157	38.77665248738066	-5.31430258871859			404.50000000000006	446.4398014703029	362.56019852969723	13.520749123346944
2018-02-12	369.19	376.19	365.99	365.99	338540	14074697728.0	368.78999999999996	390.47	403.3200000000001	387.2993930655668	394.22900996029233	39.98916055338366	-6.929616894725541			403.3200000000001	448.24768927018056	358.39231072981966	13.440695614536446
2018-02-13	375.59	381.99	374.39	378.79	237051	9999016960.0	371.27	386.5300000000001	402.2300000000001	385.9902556708642	393.08537959286326	46.61388548449379	-7.095123921999061			402.2300000000001	448.4750407013951	355.9849592986051	13.623503070640986
2018-02-14	384.99	391.39	382.79	389.99	222853	9597172736.0	375.03000000000003	383.53000000000003	401.4600000000001	386.6056009522697	392.8560922156141	51.644035476015	-6.250491263344429			401.4600000000001	447.99542397153516	354.924576028465	13.550395708452342
2018-02-15	400.79	403.39	398.19	403.39	163548	7268701184.0	380.39000000000004	382.23	401.4200000000001	389.187816190382	393.6363816811242	56.87899098721787	-4.448565490742169			401.4200000000001	447.94691807183403	354.8930819281661	13.539653157848603
2018-02-20	406.39	409.39	401.19	402.19	204820	9191829504.0	388.07	381.57000000000005	401.09000000000015	391.1881521610925	394.26998303807795	56.291278138114166	-3.081830876985464	-3.9615683871518854	1.759475020332843	401.09000000000015	447.49027223150637	354.6897277684939	13.158249360859417
